"Record.ID","s","word","accuracy"
"BUBA020","spa","bed",1
"BUBA020","spa","tree",0
"BUBA020","spa","pencil",1
"BUBA020","spa","house",1
"BUBA020","spa","whistle",1
"BUBA020","spa","scissors",1
"BUBA020","spa","comb",1
"BUBA020","spa","flower",1
"BUBA020","spa","saw",0
"BUBA020","spa","toothbrush",1
"BUBA020","spa","helicopter",0
"BUBA020","spa","broom",1
"BUBA020","spa","octopus",1
"BUBA020","spa","mushroom",0
"BUBA020","spa","hanger",0
"BUBA020","spa","wheelchair",1
"BUBA020","spa","camel",0
"BUBA020","spa","mask",0
"BUBA020","spa","pretzel",0
"BUBA020","spa","bench",0
"BUBA020","spa","racquet",0
"BUBA020","spa","snail",0
"BUBA020","spa","volcano",1
"BUBA020","spa","seahorse",0
"BUBA020","spa","dart",0
"BUBA020","spa","canoe",1
"BUBA020","spa","globe",0
"BUBA020","spa","wreath",0
"BUBA020","spa","beaver",0
"BUBA020","spa","harmonica",0
"BUBA020","spa","rhinoceros",0
"BUBA020","spa","acorn",0
"BUBA020","spa","igloo",0
"BUBA020","spa","stilts",0
"BUBA020","spa","dominos",0
"BUBA020","spa","cactus",0
"BUBA020","spa","escalator",0
"BUBA020","spa","harp",0
"BUBA020","spa","hammock",1
"BUBA020","spa","knocker",0
"BUBA020","spa","pelican",0
"BUBA020","spa","stethoscope",0
"BUBA020","spa","pyramid",0
"BUBA020","spa","muzzle",1
"BUBA020","spa","unicorn",0
"BUBA020","spa","funnel",0
"BUBA020","spa","accordion",0
"BUBA020","spa","noose",0
"BUBA020","spa","asparagus",0
"BUBA020","spa","compass.1",0
"BUBA020","spa","latch.1",0
"BUBA020","spa","tripod",0
"BUBA020","spa","scoll",0
"BUBA020","spa","tongs",0
"BUBA020","spa","sphinx",0
"BUBA020","spa","yoke",0
"BUBA020","spa","trellis",0
"BUBA020","spa","palette",0
"BUBA020","spa","protractor",0
"BUBA020","spa","abacus",0
"BUBA024","spa","bed",1
"BUBA024","spa","tree",1
"BUBA024","spa","pencil",1
"BUBA024","spa","house",1
"BUBA024","spa","whistle",0
"BUBA024","spa","scissors",1
"BUBA024","spa","comb",1
"BUBA024","spa","flower",1
"BUBA024","spa","saw",1
"BUBA024","spa","toothbrush",1
"BUBA024","spa","helicopter",1
"BUBA024","spa","broom",0
"BUBA024","spa","octopus",0
"BUBA024","spa","mushroom",1
"BUBA024","spa","hanger",1
"BUBA024","spa","wheelchair",0
"BUBA024","spa","camel",1
"BUBA024","spa","mask",1
"BUBA024","spa","pretzel",1
"BUBA024","spa","bench",0
"BUBA024","spa","racquet",0
"BUBA024","spa","snail",1
"BUBA024","spa","volcano",1
"BUBA024","spa","seahorse",0
"BUBA024","spa","dart",0
"BUBA024","spa","canoe",0
"BUBA024","spa","globe",0
"BUBA024","spa","wreath",0
"BUBA024","spa","beaver",0
"BUBA024","spa","harmonica",1
"BUBA024","spa","rhinoceros",1
"BUBA024","spa","acorn",0
"BUBA024","spa","igloo",1
"BUBA024","spa","stilts",0
"BUBA024","spa","dominos",0
"BUBA024","spa","cactus",1
"BUBA024","spa","escalator",1
"BUBA024","spa","harp",0
"BUBA024","spa","hammock",1
"BUBA024","spa","knocker",0
"BUBA024","spa","pelican",1
"BUBA024","spa","stethoscope",0
"BUBA024","spa","pyramid",1
"BUBA024","spa","muzzle",0
"BUBA024","spa","unicorn",1
"BUBA024","spa","funnel",0
"BUBA024","spa","accordion",0
"BUBA024","spa","noose",0
"BUBA024","spa","asparagus",1
"BUBA024","spa","compass.1",0
"BUBA024","spa","latch.1",0
"BUBA024","spa","tripod",0
"BUBA024","spa","scoll",0
"BUBA024","spa","tongs",0
"BUBA024","spa","sphinx",0
"BUBA024","spa","yoke",0
"BUBA024","spa","trellis",0
"BUBA024","spa","palette",0
"BUBA024","spa","protractor",0
"BUBA024","spa","abacus",0
"BUBA046","spa","bed",0
"BUBA046","spa","tree",0
"BUBA046","spa","pencil",0
"BUBA046","spa","house",0
"BUBA046","spa","whistle",0
"BUBA046","spa","scissors",0
"BUBA046","spa","comb",0
"BUBA046","spa","flower",0
"BUBA046","spa","saw",0
"BUBA046","spa","toothbrush",0
"BUBA046","spa","helicopter",0
"BUBA046","spa","broom",0
"BUBA046","spa","octopus",0
"BUBA046","spa","mushroom",0
"BUBA046","spa","hanger",0
"BUBA046","spa","wheelchair",0
"BUBA046","spa","camel",0
"BUBA046","spa","mask",0
"BUBA046","spa","pretzel",0
"BUBA046","spa","bench",0
"BUBA046","spa","racquet",0
"BUBA046","spa","snail",0
"BUBA046","spa","volcano",0
"BUBA046","spa","seahorse",0
"BUBA046","spa","dart",0
"BUBA046","spa","canoe",0
"BUBA046","spa","globe",0
"BUBA046","spa","wreath",0
"BUBA046","spa","beaver",0
"BUBA046","spa","harmonica",0
"BUBA046","spa","rhinoceros",0
"BUBA046","spa","acorn",0
"BUBA046","spa","igloo",0
"BUBA046","spa","stilts",0
"BUBA046","spa","dominos",0
"BUBA046","spa","cactus",0
"BUBA046","spa","escalator",0
"BUBA046","spa","harp",0
"BUBA046","spa","hammock",0
"BUBA046","spa","knocker",NA
"BUBA046","spa","pelican",0
"BUBA046","spa","stethoscope",0
"BUBA046","spa","pyramid",0
"BUBA046","spa","muzzle",0
"BUBA046","spa","unicorn",0
"BUBA046","spa","funnel",0
"BUBA046","spa","accordion",0
"BUBA046","spa","noose",0
"BUBA046","spa","asparagus",0
"BUBA046","spa","compass.1",0
"BUBA046","spa","latch.1",0
"BUBA046","spa","tripod",0
"BUBA046","spa","scoll",0
"BUBA046","spa","tongs",0
"BUBA046","spa","sphinx",0
"BUBA046","spa","yoke",0
"BUBA046","spa","trellis",0
"BUBA046","spa","palette",0
"BUBA046","spa","protractor",0
"BUBA046","spa","abacus",0
"BUBA061","spa","bed",1
"BUBA061","spa","tree",1
"BUBA061","spa","pencil",1
"BUBA061","spa","house",1
"BUBA061","spa","whistle",1
"BUBA061","spa","scissors",1
"BUBA061","spa","comb",1
"BUBA061","spa","flower",1
"BUBA061","spa","saw",0
"BUBA061","spa","toothbrush",1
"BUBA061","spa","helicopter",1
"BUBA061","spa","broom",0
"BUBA061","spa","octopus",0
"BUBA061","spa","mushroom",1
"BUBA061","spa","hanger",1
"BUBA061","spa","wheelchair",1
"BUBA061","spa","camel",1
"BUBA061","spa","mask",1
"BUBA061","spa","pretzel",1
"BUBA061","spa","bench",0
"BUBA061","spa","racquet",1
"BUBA061","spa","snail",0
"BUBA061","spa","volcano",1
"BUBA061","spa","seahorse",0
"BUBA061","spa","dart",1
"BUBA061","spa","canoe",0
"BUBA061","spa","globe",1
"BUBA061","spa","wreath",0
"BUBA061","spa","beaver",0
"BUBA061","spa","harmonica",1
"BUBA061","spa","rhinoceros",0
"BUBA061","spa","acorn",0
"BUBA061","spa","igloo",1
"BUBA061","spa","stilts",0
"BUBA061","spa","dominos",1
"BUBA061","spa","cactus",0
"BUBA061","spa","escalator",0
"BUBA061","spa","harp",1
"BUBA061","spa","hammock",0
"BUBA061","spa","knocker",0
"BUBA061","spa","pelican",0
"BUBA061","spa","stethoscope",0
"BUBA061","spa","pyramid",0
"BUBA061","spa","muzzle",0
"BUBA061","spa","unicorn",1
"BUBA061","spa","funnel",0
"BUBA061","spa","accordion",1
"BUBA061","spa","noose",0
"BUBA061","spa","asparagus",1
"BUBA061","spa","compass.1",0
"BUBA061","spa","latch.1",0
"BUBA061","spa","tripod",0
"BUBA061","spa","scoll",0
"BUBA061","spa","tongs",0
"BUBA061","spa","sphinx",0
"BUBA061","spa","yoke",0
"BUBA061","spa","trellis",0
"BUBA061","spa","palette",0
"BUBA061","spa","protractor",0
"BUBA061","spa","abacus",1
"BUBA066","spa","bed",0
"BUBA066","spa","tree",0
"BUBA066","spa","pencil",0
"BUBA066","spa","house",0
"BUBA066","spa","whistle",0
"BUBA066","spa","scissors",0
"BUBA066","spa","comb",0
"BUBA066","spa","flower",0
"BUBA066","spa","saw",0
"BUBA066","spa","toothbrush",0
"BUBA066","spa","helicopter",0
"BUBA066","spa","broom",0
"BUBA066","spa","octopus",0
"BUBA066","spa","mushroom",0
"BUBA066","spa","hanger",0
"BUBA066","spa","wheelchair",0
"BUBA066","spa","camel",0
"BUBA066","spa","mask",0
"BUBA066","spa","pretzel",0
"BUBA066","spa","bench",0
"BUBA066","spa","racquet",0
"BUBA066","spa","snail",0
"BUBA066","spa","volcano",0
"BUBA066","spa","seahorse",0
"BUBA066","spa","dart",0
"BUBA066","spa","canoe",0
"BUBA066","spa","globe",0
"BUBA066","spa","wreath",0
"BUBA066","spa","beaver",0
"BUBA066","spa","harmonica",0
"BUBA066","spa","rhinoceros",0
"BUBA066","spa","acorn",0
"BUBA066","spa","igloo",0
"BUBA066","spa","stilts",0
"BUBA066","spa","dominos",1
"BUBA066","spa","cactus",0
"BUBA066","spa","escalator",0
"BUBA066","spa","harp",0
"BUBA066","spa","hammock",0
"BUBA066","spa","knocker",0
"BUBA066","spa","pelican",0
"BUBA066","spa","stethoscope",0
"BUBA066","spa","pyramid",0
"BUBA066","spa","muzzle",0
"BUBA066","spa","unicorn",0
"BUBA066","spa","funnel",0
"BUBA066","spa","accordion",0
"BUBA066","spa","noose",0
"BUBA066","spa","asparagus",0
"BUBA066","spa","compass.1",0
"BUBA066","spa","latch.1",0
"BUBA066","spa","tripod",0
"BUBA066","spa","scoll",0
"BUBA066","spa","tongs",0
"BUBA066","spa","sphinx",0
"BUBA066","spa","yoke",0
"BUBA066","spa","trellis",0
"BUBA066","spa","palette",0
"BUBA066","spa","protractor",0
"BUBA066","spa","abacus",0
"BUBA072","spa","bed",1
"BUBA072","spa","tree",1
"BUBA072","spa","pencil",1
"BUBA072","spa","house",1
"BUBA072","spa","whistle",1
"BUBA072","spa","scissors",0
"BUBA072","spa","comb",0
"BUBA072","spa","flower",1
"BUBA072","spa","saw",1
"BUBA072","spa","toothbrush",0
"BUBA072","spa","helicopter",1
"BUBA072","spa","broom",1
"BUBA072","spa","octopus",1
"BUBA072","spa","mushroom",1
"BUBA072","spa","hanger",1
"BUBA072","spa","wheelchair",1
"BUBA072","spa","camel",1
"BUBA072","spa","mask",1
"BUBA072","spa","pretzel",0
"BUBA072","spa","bench",1
"BUBA072","spa","racquet",1
"BUBA072","spa","snail",0
"BUBA072","spa","volcano",1
"BUBA072","spa","seahorse",1
"BUBA072","spa","dart",0
"BUBA072","spa","canoe",1
"BUBA072","spa","globe",1
"BUBA072","spa","wreath",0
"BUBA072","spa","beaver",1
"BUBA072","spa","harmonica",1
"BUBA072","spa","rhinoceros",1
"BUBA072","spa","acorn",0
"BUBA072","spa","igloo",1
"BUBA072","spa","stilts",0
"BUBA072","spa","dominos",0
"BUBA072","spa","cactus",0
"BUBA072","spa","escalator",1
"BUBA072","spa","harp",1
"BUBA072","spa","hammock",0
"BUBA072","spa","knocker",0
"BUBA072","spa","pelican",0
"BUBA072","spa","stethoscope",0
"BUBA072","spa","pyramid",0
"BUBA072","spa","muzzle",0
"BUBA072","spa","unicorn",0
"BUBA072","spa","funnel",1
"BUBA072","spa","accordion",1
"BUBA072","spa","noose",0
"BUBA072","spa","asparagus",0
"BUBA072","spa","compass.1",1
"BUBA072","spa","latch.1",0
"BUBA072","spa","tripod",1
"BUBA072","spa","scoll",0
"BUBA072","spa","tongs",0
"BUBA072","spa","sphinx",0
"BUBA072","spa","yoke",0
"BUBA072","spa","trellis",0
"BUBA072","spa","palette",0
"BUBA072","spa","protractor",0
"BUBA072","spa","abacus",0
"BUBA076","spa","bed",1
"BUBA076","spa","tree",1
"BUBA076","spa","pencil",1
"BUBA076","spa","house",1
"BUBA076","spa","whistle",1
"BUBA076","spa","scissors",1
"BUBA076","spa","comb",1
"BUBA076","spa","flower",1
"BUBA076","spa","saw",1
"BUBA076","spa","toothbrush",1
"BUBA076","spa","helicopter",1
"BUBA076","spa","broom",1
"BUBA076","spa","octopus",1
"BUBA076","spa","mushroom",1
"BUBA076","spa","hanger",1
"BUBA076","spa","wheelchair",1
"BUBA076","spa","camel",1
"BUBA076","spa","mask",1
"BUBA076","spa","pretzel",0
"BUBA076","spa","bench",1
"BUBA076","spa","racquet",1
"BUBA076","spa","snail",1
"BUBA076","spa","volcano",1
"BUBA076","spa","seahorse",1
"BUBA076","spa","dart",0
"BUBA076","spa","canoe",0
"BUBA076","spa","globe",0
"BUBA076","spa","wreath",0
"BUBA076","spa","beaver",1
"BUBA076","spa","harmonica",1
"BUBA076","spa","rhinoceros",0
"BUBA076","spa","acorn",0
"BUBA076","spa","igloo",1
"BUBA076","spa","stilts",0
"BUBA076","spa","dominos",1
"BUBA076","spa","cactus",1
"BUBA076","spa","escalator",1
"BUBA076","spa","harp",0
"BUBA076","spa","hammock",1
"BUBA076","spa","knocker",0
"BUBA076","spa","pelican",1
"BUBA076","spa","stethoscope",0
"BUBA076","spa","pyramid",1
"BUBA076","spa","muzzle",0
"BUBA076","spa","unicorn",1
"BUBA076","spa","funnel",0
"BUBA076","spa","accordion",0
"BUBA076","spa","noose",1
"BUBA076","spa","asparagus",1
"BUBA076","spa","compass.1",1
"BUBA076","spa","latch.1",1
"BUBA076","spa","tripod",0
"BUBA076","spa","scoll",0
"BUBA076","spa","tongs",0
"BUBA076","spa","sphinx",0
"BUBA076","spa","yoke",0
"BUBA076","spa","trellis",0
"BUBA076","spa","palette",1
"BUBA076","spa","protractor",1
"BUBA076","spa","abacus",0
"BUBA078","spa","bed",1
"BUBA078","spa","tree",0
"BUBA078","spa","pencil",1
"BUBA078","spa","house",1
"BUBA078","spa","whistle",0
"BUBA078","spa","scissors",0
"BUBA078","spa","comb",1
"BUBA078","spa","flower",1
"BUBA078","spa","saw",0
"BUBA078","spa","toothbrush",0
"BUBA078","spa","helicopter",0
"BUBA078","spa","broom",1
"BUBA078","spa","octopus",1
"BUBA078","spa","mushroom",1
"BUBA078","spa","hanger",0
"BUBA078","spa","wheelchair",0
"BUBA078","spa","camel",0
"BUBA078","spa","mask",0
"BUBA078","spa","pretzel",0
"BUBA078","spa","bench",0
"BUBA078","spa","racquet",0
"BUBA078","spa","snail",0
"BUBA078","spa","volcano",1
"BUBA078","spa","seahorse",0
"BUBA078","spa","dart",1
"BUBA078","spa","canoe",0
"BUBA078","spa","globe",1
"BUBA078","spa","wreath",0
"BUBA078","spa","beaver",0
"BUBA078","spa","harmonica",0
"BUBA078","spa","rhinoceros",0
"BUBA078","spa","acorn",0
"BUBA078","spa","igloo",0
"BUBA078","spa","stilts",0
"BUBA078","spa","dominos",0
"BUBA078","spa","cactus",1
"BUBA078","spa","escalator",0
"BUBA078","spa","harp",0
"BUBA078","spa","hammock",0
"BUBA078","spa","knocker",0
"BUBA078","spa","pelican",0
"BUBA078","spa","stethoscope",0
"BUBA078","spa","pyramid",0
"BUBA078","spa","muzzle",0
"BUBA078","spa","unicorn",0
"BUBA078","spa","funnel",0
"BUBA078","spa","accordion",0
"BUBA078","spa","noose",0
"BUBA078","spa","asparagus",0
"BUBA078","spa","compass.1",0
"BUBA078","spa","latch.1",0
"BUBA078","spa","tripod",0
"BUBA078","spa","scoll",0
"BUBA078","spa","tongs",0
"BUBA078","spa","sphinx",1
"BUBA078","spa","yoke",0
"BUBA078","spa","trellis",0
"BUBA078","spa","palette",0
"BUBA078","spa","protractor",0
"BUBA078","spa","abacus",0
"BUBA079","spa","bed",1
"BUBA079","spa","tree",1
"BUBA079","spa","pencil",1
"BUBA079","spa","house",1
"BUBA079","spa","whistle",1
"BUBA079","spa","scissors",1
"BUBA079","spa","comb",1
"BUBA079","spa","flower",0
"BUBA079","spa","saw",1
"BUBA079","spa","toothbrush",1
"BUBA079","spa","helicopter",1
"BUBA079","spa","broom",1
"BUBA079","spa","octopus",1
"BUBA079","spa","mushroom",1
"BUBA079","spa","hanger",1
"BUBA079","spa","wheelchair",1
"BUBA079","spa","camel",1
"BUBA079","spa","mask",0
"BUBA079","spa","pretzel",0
"BUBA079","spa","bench",0
"BUBA079","spa","racquet",1
"BUBA079","spa","snail",1
"BUBA079","spa","volcano",0
"BUBA079","spa","seahorse",1
"BUBA079","spa","dart",1
"BUBA079","spa","canoe",0
"BUBA079","spa","globe",1
"BUBA079","spa","wreath",0
"BUBA079","spa","beaver",0
"BUBA079","spa","harmonica",1
"BUBA079","spa","rhinoceros",0
"BUBA079","spa","acorn",0
"BUBA079","spa","igloo",0
"BUBA079","spa","stilts",0
"BUBA079","spa","dominos",1
"BUBA079","spa","cactus",1
"BUBA079","spa","escalator",1
"BUBA079","spa","harp",1
"BUBA079","spa","hammock",1
"BUBA079","spa","knocker",0
"BUBA079","spa","pelican",0
"BUBA079","spa","stethoscope",0
"BUBA079","spa","pyramid",0
"BUBA079","spa","muzzle",0
"BUBA079","spa","unicorn",0
"BUBA079","spa","funnel",1
"BUBA079","spa","accordion",1
"BUBA079","spa","noose",1
"BUBA079","spa","asparagus",1
"BUBA079","spa","compass.1",0
"BUBA079","spa","latch.1",1
"BUBA079","spa","tripod",0
"BUBA079","spa","scoll",0
"BUBA079","spa","tongs",0
"BUBA079","spa","sphinx",0
"BUBA079","spa","yoke",0
"BUBA079","spa","trellis",0
"BUBA079","spa","palette",0
"BUBA079","spa","protractor",0
"BUBA079","spa","abacus",0
"BUBA080","spa","bed",1
"BUBA080","spa","tree",1
"BUBA080","spa","pencil",1
"BUBA080","spa","house",1
"BUBA080","spa","whistle",1
"BUBA080","spa","scissors",1
"BUBA080","spa","comb",1
"BUBA080","spa","flower",1
"BUBA080","spa","saw",1
"BUBA080","spa","toothbrush",1
"BUBA080","spa","helicopter",1
"BUBA080","spa","broom",1
"BUBA080","spa","octopus",1
"BUBA080","spa","mushroom",0
"BUBA080","spa","hanger",1
"BUBA080","spa","wheelchair",1
"BUBA080","spa","camel",1
"BUBA080","spa","mask",1
"BUBA080","spa","pretzel",1
"BUBA080","spa","bench",1
"BUBA080","spa","racquet",0
"BUBA080","spa","snail",1
"BUBA080","spa","volcano",0
"BUBA080","spa","seahorse",1
"BUBA080","spa","dart",0
"BUBA080","spa","canoe",1
"BUBA080","spa","globe",0
"BUBA080","spa","wreath",0
"BUBA080","spa","beaver",0
"BUBA080","spa","harmonica",1
"BUBA080","spa","rhinoceros",1
"BUBA080","spa","acorn",0
"BUBA080","spa","igloo",1
"BUBA080","spa","stilts",0
"BUBA080","spa","dominos",1
"BUBA080","spa","cactus",1
"BUBA080","spa","escalator",0
"BUBA080","spa","harp",0
"BUBA080","spa","hammock",1
"BUBA080","spa","knocker",0
"BUBA080","spa","pelican",0
"BUBA080","spa","stethoscope",0
"BUBA080","spa","pyramid",0
"BUBA080","spa","muzzle",0
"BUBA080","spa","unicorn",0
"BUBA080","spa","funnel",0
"BUBA080","spa","accordion",1
"BUBA080","spa","noose",0
"BUBA080","spa","asparagus",0
"BUBA080","spa","compass.1",0
"BUBA080","spa","latch.1",0
"BUBA080","spa","tripod",0
"BUBA080","spa","scoll",0
"BUBA080","spa","tongs",0
"BUBA080","spa","sphinx",0
"BUBA080","spa","yoke",0
"BUBA080","spa","trellis",0
"BUBA080","spa","palette",0
"BUBA080","spa","protractor",0
"BUBA080","spa","abacus",0
"BUBA083","spa","bed",1
"BUBA083","spa","tree",1
"BUBA083","spa","pencil",1
"BUBA083","spa","house",1
"BUBA083","spa","whistle",1
"BUBA083","spa","scissors",0
"BUBA083","spa","comb",1
"BUBA083","spa","flower",1
"BUBA083","spa","saw",1
"BUBA083","spa","toothbrush",0
"BUBA083","spa","helicopter",0
"BUBA083","spa","broom",1
"BUBA083","spa","octopus",0
"BUBA083","spa","mushroom",1
"BUBA083","spa","hanger",1
"BUBA083","spa","wheelchair",0
"BUBA083","spa","camel",1
"BUBA083","spa","mask",0
"BUBA083","spa","pretzel",0
"BUBA083","spa","bench",1
"BUBA083","spa","racquet",1
"BUBA083","spa","snail",0
"BUBA083","spa","volcano",1
"BUBA083","spa","seahorse",1
"BUBA083","spa","dart",1
"BUBA083","spa","canoe",1
"BUBA083","spa","globe",0
"BUBA083","spa","wreath",0
"BUBA083","spa","beaver",0
"BUBA083","spa","harmonica",0
"BUBA083","spa","rhinoceros",1
"BUBA083","spa","acorn",0
"BUBA083","spa","igloo",0
"BUBA083","spa","stilts",1
"BUBA083","spa","dominos",0
"BUBA083","spa","cactus",1
"BUBA083","spa","escalator",0
"BUBA083","spa","harp",0
"BUBA083","spa","hammock",0
"BUBA083","spa","knocker",0
"BUBA083","spa","pelican",0
"BUBA083","spa","stethoscope",0
"BUBA083","spa","pyramid",1
"BUBA083","spa","muzzle",0
"BUBA083","spa","unicorn",0
"BUBA083","spa","funnel",0
"BUBA083","spa","accordion",1
"BUBA083","spa","noose",1
"BUBA083","spa","asparagus",0
"BUBA083","spa","compass.1",0
"BUBA083","spa","latch.1",0
"BUBA083","spa","tripod",0
"BUBA083","spa","scoll",0
"BUBA083","spa","tongs",0
"BUBA083","spa","sphinx",0
"BUBA083","spa","yoke",0
"BUBA083","spa","trellis",0
"BUBA083","spa","palette",0
"BUBA083","spa","protractor",0
"BUBA083","spa","abacus",0
"BUBA084","spa","bed",1
"BUBA084","spa","tree",1
"BUBA084","spa","pencil",1
"BUBA084","spa","house",1
"BUBA084","spa","whistle",0
"BUBA084","spa","scissors",1
"BUBA084","spa","comb",1
"BUBA084","spa","flower",1
"BUBA084","spa","saw",1
"BUBA084","spa","toothbrush",1
"BUBA084","spa","helicopter",1
"BUBA084","spa","broom",1
"BUBA084","spa","octopus",0
"BUBA084","spa","mushroom",1
"BUBA084","spa","hanger",0
"BUBA084","spa","wheelchair",1
"BUBA084","spa","camel",0
"BUBA084","spa","mask",1
"BUBA084","spa","pretzel",1
"BUBA084","spa","bench",0
"BUBA084","spa","racquet",0
"BUBA084","spa","snail",0
"BUBA084","spa","volcano",1
"BUBA084","spa","seahorse",1
"BUBA084","spa","dart",0
"BUBA084","spa","canoe",0
"BUBA084","spa","globe",0
"BUBA084","spa","wreath",0
"BUBA084","spa","beaver",0
"BUBA084","spa","harmonica",0
"BUBA084","spa","rhinoceros",1
"BUBA084","spa","acorn",0
"BUBA084","spa","igloo",0
"BUBA084","spa","stilts",0
"BUBA084","spa","dominos",1
"BUBA084","spa","cactus",0
"BUBA084","spa","escalator",1
"BUBA084","spa","harp",0
"BUBA084","spa","hammock",0
"BUBA084","spa","knocker",0
"BUBA084","spa","pelican",1
"BUBA084","spa","stethoscope",0
"BUBA084","spa","pyramid",1
"BUBA084","spa","muzzle",0
"BUBA084","spa","unicorn",0
"BUBA084","spa","funnel",0
"BUBA084","spa","accordion",0
"BUBA084","spa","noose",0
"BUBA084","spa","asparagus",0
"BUBA084","spa","compass.1",0
"BUBA084","spa","latch.1",0
"BUBA084","spa","tripod",0
"BUBA084","spa","scoll",0
"BUBA084","spa","tongs",0
"BUBA084","spa","sphinx",0
"BUBA084","spa","yoke",0
"BUBA084","spa","trellis",0
"BUBA084","spa","palette",0
"BUBA084","spa","protractor",0
"BUBA084","spa","abacus",0
"BUBA085","spa","bed",1
"BUBA085","spa","tree",1
"BUBA085","spa","pencil",1
"BUBA085","spa","house",1
"BUBA085","spa","whistle",1
"BUBA085","spa","scissors",1
"BUBA085","spa","comb",0
"BUBA085","spa","flower",1
"BUBA085","spa","saw",0
"BUBA085","spa","toothbrush",1
"BUBA085","spa","helicopter",0
"BUBA085","spa","broom",1
"BUBA085","spa","octopus",0
"BUBA085","spa","mushroom",1
"BUBA085","spa","hanger",0
"BUBA085","spa","wheelchair",1
"BUBA085","spa","camel",1
"BUBA085","spa","mask",1
"BUBA085","spa","pretzel",1
"BUBA085","spa","bench",1
"BUBA085","spa","racquet",1
"BUBA085","spa","snail",1
"BUBA085","spa","volcano",0
"BUBA085","spa","seahorse",0
"BUBA085","spa","dart",0
"BUBA085","spa","canoe",1
"BUBA085","spa","globe",1
"BUBA085","spa","wreath",0
"BUBA085","spa","beaver",0
"BUBA085","spa","harmonica",1
"BUBA085","spa","rhinoceros",0
"BUBA085","spa","acorn",0
"BUBA085","spa","igloo",0
"BUBA085","spa","stilts",0
"BUBA085","spa","dominos",1
"BUBA085","spa","cactus",1
"BUBA085","spa","escalator",0
"BUBA085","spa","harp",1
"BUBA085","spa","hammock",0
"BUBA085","spa","knocker",0
"BUBA085","spa","pelican",1
"BUBA085","spa","stethoscope",0
"BUBA085","spa","pyramid",1
"BUBA085","spa","muzzle",0
"BUBA085","spa","unicorn",1
"BUBA085","spa","funnel",0
"BUBA085","spa","accordion",0
"BUBA085","spa","noose",0
"BUBA085","spa","asparagus",1
"BUBA085","spa","compass.1",0
"BUBA085","spa","latch.1",0
"BUBA085","spa","tripod",0
"BUBA085","spa","scoll",0
"BUBA085","spa","tongs",0
"BUBA085","spa","sphinx",0
"BUBA085","spa","yoke",0
"BUBA085","spa","trellis",0
"BUBA085","spa","palette",0
"BUBA085","spa","protractor",0
